name,level,type,city,district,address,longitude,latitude
私立博愛護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮延正里江西路27號,120.7044144,23.78141212
東華醫院附設南投縣私立東華居家式長期照顧服務機構,B,專業照護服務,南投縣,竹山鎮,南投縣竹山鎮延祥里集山路三段272巷16號,120.7002716,23.76437569
東華醫院,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮鯉魚里鯉行路1號,120.7002716,23.76437569
竹山秀傳醫院,B,交通接送服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.7139587,23.80016518
社團法人南投縣社區家庭支援協會附設南投縣私立迦南居家式長期照顧服務機構,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮桂林里桂林里中山路1-61號,120.6876984,23.75397873
社團法人南投縣新媳婦關懷協會,B,交通接送服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.714119,23.80014992
竹山秀傳醫院附設南投縣私立秀傳居家式長期照顧服務機構,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.7139587,23.80016518
南投縣竹山鎮富州社區發展協會,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮富州里集山路一段422號,120.7470703,23.81393051
南投縣竹山鎮社寮社區發展協會,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮社寮里大公街75號(社寮社區推廣中心),120.7225037,23.81711006
南投縣竹山鎮福田社區發展協會,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮福興里鯉南路136-1號,120.6670074,23.72780037
東華醫院,B,交通接送服務,南投縣,竹山鎮,南投縣竹山鎮延祥里集山路三段272巷16號,120.7002716,23.76437569
社團法人南投縣社區家庭支援協會附設南投縣私立迦南居家式長期照顧服務機構,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮桂林里中山路1之61號,120.6957855,23.74672508
竹山秀傳醫院山崇里,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮山崇里溫水巷24號,120.7091675,23.80520821
私立康能護理之家,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮延平里集山路二段1101號,120.7079315,23.7701683
東華醫院附設南投縣私立東華居家式長期照顧服務機構,A,個案管理服務,南投縣,竹山鎮,南投縣竹山鎮延祥里集山路三段272巷16號,120.7002716,23.76437569
東華醫院附設南投縣私立東華居家式長期照顧服務機構,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮延祥里集山路三段272巷16號,120.7002716,23.76437569
社團法人南投縣新媳婦關懷協會附設南投縣私立好媳婦居家式長期照顧服務機構,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.714119,23.80014992
私立康能護理之家,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮延山里大舜路36-6號,120.7079315,23.7701683
東華醫院,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮中山里新生路346號,120.7002716,23.76437569
埔基醫療財團法人附設愛蘭護理之家,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮鐵山里鐵山路2號,120.9461823,23.97181702
迦南精神護理之家,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮中山路1段182-1號,121.002182,23.97846222
臺中榮民總醫院埔里分院附設居家護理所,B,專業照護服務,南投縣,埔里鎮,南投縣埔里鎮蜈蚣里榮光路1號,120.9943695,23.97875404
