name,type,city,district,address,longitude,latitude,capacity,evaluate_year,evaluation_type,evaluation_result,rating_amount,rating_score,rating_average,google
新北市石門區老梅國民小學附設幼兒園,公立,新北市,石門區,新北市石門區老梅路10號,121.5450324,25.2892326,30,103學年度,基礎評鑑,全數指標通過基礎評鑑,18,79,4.388888889,4.7
新北市石門區石門國民小學附設幼兒園,公立,新北市,石門區,新北市石門區中央路9號,121.5672318,25.2919941,60,103學年度,基礎評鑑,全數指標通過基礎評鑑,30,99,3.3,5
新北市立石門幼兒園,公立,新北市,石門區,新北市石門區中山路34號,121.566239,25.2901354,30,104學年度,追蹤評鑑,全數指標通過追蹤評鑑,9,31,3.444444444,2.4
新北市立石門幼兒園草里分班,公立,新北市,石門區,新北市石門區阿里荖33之1號,121.5671383,25.2908277,15,無評鑑資料,無評鑑資料,無評鑑資料,38,133,3.5,5
宜蘭縣宜蘭市宜蘭國民小學附設幼兒園,公立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市崇聖街2號,121.7542746,24.7528618,120,103學年度,基礎評鑑,全數指標通過基礎評鑑,33,132,4,2.7
宜蘭縣宜蘭市中山國民小學附設幼兒園,公立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市崇聖街4號,121.7547002,24.7542204,106,103學年度,基礎評鑑,全數指標通過基礎評鑑,36,180,5,3.3
宜蘭縣宜蘭市南屏國民小學附設幼兒園,公立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市泰山路98號,121.7431381,24.7541878,106,103學年度,基礎評鑑,全數指標通過基礎評鑑,32,118,3.6875,4.1
宜蘭縣宜蘭市力行國民小學附設幼兒園,公立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市力行路152號,121.7557931,24.7635547,30,103學年度,基礎評鑑,全數指標通過基礎評鑑,35,123,3.514285714,3.3
宜蘭縣宜蘭市凱旋國民小學附設幼兒園,公立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市凱旋路130號,121.763175,24.7244611,106,103學年度,基礎評鑑,全數指標通過基礎評鑑,10,25,2.5,3.5
宜蘭縣宜蘭市立幼兒園,公立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市黎明二路239號,121.7744753,24.7441311,240,104學年度,基礎評鑑,全數指標通過基礎評鑑,33,96,2.909090909,5
宜蘭縣宜蘭市立幼兒園東園分班,公立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市崇聖街170號,121.756947,24.760739,140,104學年度,基礎評鑑,全數指標通過基礎評鑑,18,61,3.388888889,3.2
宜蘭縣宜蘭市立幼兒園金六結分班,公立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市建軍路61號,121.735024,24.7531958,150,104學年度,基礎評鑑,全數指標通過基礎評鑑,13,65,5,3.1
宜蘭縣宜蘭市立幼兒園慶和分班,公立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市慶和街慶和巷16號,121.7521516,24.7625268,90,104學年度,基礎評鑑,全數指標通過基礎評鑑,50,230,4.6,2.8
宜蘭縣宜蘭市立幼兒園新生分班,公立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市大福路一段243號,121.7642067,24.7646543,50,104學年度,基礎評鑑,全數指標通過基礎評鑑,2,10,5,5
宜蘭縣私立芝?村國際幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中華路233號,121.751927,24.751347,370,105學年度,基礎評鑑,全數指標通過基礎評鑑,22,88,4,2.7
宜蘭縣私立康寶爾幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路二段6號,121.756252,24.744269,230,105學年度,基礎評鑑,全數指標通過基礎評鑑,26,96,3.692307692,3.7
宜蘭縣私立達文西幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市泰山路95號,121.744268,24.754117,280,105學年度,基礎評鑑,全數指標通過基礎評鑑,15,56,3.733333333,4.2
宜蘭縣私立安琪卡幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路五段159、161號,121.756868,24.771041,160,105學年度,基礎評鑑,全數指標通過基礎評鑑,8,31,3.875,3.4
宜蘭縣私立加楓幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市健康路一段55巷3、5號,121.753263,24.7410281,136,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,5,20,4,2.8
財團法人天主教宜蘭救主修女會附設宜蘭縣私立汎米亞幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市神農路二段72號,121.7511047,24.7515029,190,105學年度,基礎評鑑,全數指標通過基礎評鑑,44,150,3.409090909,5
宜蘭縣私立安康幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市金六結路155號,121.7414499,24.7552171,200,105學年度,基礎評鑑,全數指標通過基礎評鑑,21,59,2.80952381,4.7
宜蘭縣私立長春藤幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市東港路福德巷2號,121.7632808,24.7519265,148,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,4,18,4.5,3.8
宜蘭縣私立何嘉仁幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市女中路三段319號,121.7403438,24.7460458,210,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,26,81,3.115384615,4.4
財團法人台灣基督長老教會宜蘭教會附設宜蘭縣私立愛育幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市新民路108號,121.755616,24.757275,180,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,35,168,4.8,3.9
宜蘭縣私立培爾傑特幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市民族路582號,121.7381367,24.7474136,100,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,41,189,4.609756098,3.4
宜蘭縣私立諾貝爾幼兒園,私立,宜蘭縣,宜蘭市,宜蘭縣宜蘭市農權路三段89號,121.73985,24.7497879,200,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,34,156,4.588235294,3.6
宜蘭縣光復非營利幼兒園,非營利,宜蘭縣,宜蘭市,宜蘭縣宜蘭市泰山路60號,121.521475,25.088437,76,無評鑑資料,無評鑑資料,無評鑑資料,20,100,5,4.1
宜蘭縣頭城鎮大溪國民小學附設幼兒園,公立,宜蘭縣,頭城鎮,宜蘭縣頭城鎮濱海路四段250號,121.8869455,24.9357004,30,103學年度,基礎評鑑,全數指標通過基礎評鑑,23,81,3.52173913,4.1
宜蘭縣頭城鎮竹安國民小學附設幼兒園,公立,宜蘭縣,頭城鎮,宜蘭縣頭城鎮頭濱路一段601號,121.820763,24.825115,30,103學年度,基礎評鑑,全數指標通過基礎評鑑,22,75,3.409090909,3.5
宜蘭縣頭城鎮頭城國民小學附設幼兒園,公立,宜蘭縣,頭城鎮,宜蘭縣頭城鎮開蘭東路71號,121.8251702,24.8540138,90,103學年度,基礎評鑑,全數指標通過基礎評鑑,30,117,3.9,4.4
宜蘭縣頭城鎮立幼兒園,公立,宜蘭縣,頭城鎮,宜蘭縣頭城鎮開蘭舊路6號,121.8249633,24.8593363,100,104學年度,基礎評鑑,全數指標通過基礎評鑑,25,73,2.92,2.8
宜蘭縣頭城鎮立幼兒園中崙分班,公立,宜蘭縣,頭城鎮,宜蘭縣頭城鎮中崙路31號,121.802733,24.834733,60,104學年度,基礎評鑑,全數指標通過基礎評鑑,40,156,3.9,2.9
宜蘭縣私立狄士尼幼兒園,私立,宜蘭縣,頭城鎮,宜蘭縣頭城鎮新忠路36號,121.8183049,24.8556539,150,105學年度,基礎評鑑,全數指標通過基礎評鑑,32,109,3.40625,3.4
宜蘭縣私立育立幼兒園,私立,宜蘭縣,頭城鎮,宜蘭縣頭城鎮三和路616巷31弄53號,121.800981,24.8284621,195,105學年度,基礎評鑑,全數指標通過基礎評鑑,48,216,4.5,2.5
宜蘭縣私立赫伯特幼兒園,私立,宜蘭縣,頭城鎮,宜蘭縣頭城鎮公園路100、102號,121.8210612,24.8607653,116,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,22,70,3.181818182,4.3
國立頭城高級家事商業職業學校附設宜蘭縣私立幼兒園,私立,宜蘭縣,頭城鎮,宜蘭縣頭城鎮新興路111號,121.8160472,24.8513546,80,105學年度,基礎評鑑,全數指標通過基礎評鑑,13,36,2.769230769,5
宜蘭縣私立亞艾幼兒園,私立,宜蘭縣,頭城鎮,宜蘭縣頭城鎮沙成路31號,121.825297,24.855871,110,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,10,36,3.6,3.3
宜蘭縣礁溪鄉三民國民小學附設幼兒園,公立,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉十六結路100號,121.7599726,24.8134495,60,103學年度,基礎評鑑,全數指標通過基礎評鑑,5,25,5,5
宜蘭縣礁溪鄉四結國民小學附設幼兒園,公立,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉育英路46號,121.7597646,24.7871788,30,103學年度,基礎評鑑,全數指標通過基礎評鑑,13,46,3.538461538,3.3
宜蘭縣礁溪鄉礁溪國民小學附設幼兒園,公立,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉礁溪路四段135號,121.7695196,24.8214103,135,103學年度,基礎評鑑,全數指標通過基礎評鑑,9,24,2.666666667,4.1
宜蘭縣礁溪鄉立幼兒園,公立,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉武暖路10-3號,121.7672262,24.7828269,320,104學年度,基礎評鑑,全數指標通過基礎評鑑,47,146,3.106382979,3.3
宜蘭縣礁溪鄉玉田國民小學附設幼兒園,公立,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉茅埔路24號,121.7599726,24.8134495,30,103學年度,基礎評鑑,全數指標通過基礎評鑑,36,115,3.194444444,3.3
宜蘭縣礁溪鄉龍潭國民小學附設幼兒園,公立,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉育龍路71號,121.7449665,24.7794243,30,106學年度,基礎評鑑,全數指標通過基礎評鑑,3,13,4.333333333,4.2
