name,type,city,district,address,longitude,latitude,capacity
屏東縣瑪家鄉長榮百合國民小學附設幼兒園,公立,屏東縣,瑪家鄉,屏東縣瑪家鄉長榮百合國民小學附設幼兒園 [903]和平路一段65號,120.642559,22.698298,30
屏東縣瑪家鄉北葉國民小學附設幼兒園,公立,屏東縣,瑪家鄉,屏東縣瑪家鄉北葉國民小學附設幼兒園 [903]風景巷1號,120.6454869,22.705515,45
屏東縣瑪家鄉立幼兒園,公立,屏東縣,瑪家鄉,屏東縣瑪家鄉立幼兒園 [903]風景路1-18號1樓,120.64839,22.709555,40
屏東縣瑪家鄉美園社區互助教保服務中心(瑪家鄉美園社區發展協會辦理),私立,屏東縣,瑪家鄉,屏東縣瑪家鄉美園社區互助教保服務中心(瑪家鄉美園社區發展協會辦理) [903]美園4-10號,120.5988874,22.6964817,45
屏東縣九如鄉後庄國民小學附設幼兒園,公立,屏東縣,九如鄉,屏東縣九如鄉後庄國民小學附設幼兒園 [904]中正路2號,120.5006017,22.7550135,15
屏東縣九如鄉九如國民小學附設幼兒園,公立,屏東縣,九如鄉,屏東縣九如鄉九如國民小學附設幼兒園 [904]九如路二段3之1號,120.4865037,22.726176,30
屏東縣私立明星幼兒園,私立,屏東縣,九如鄉,屏東縣私立明星幼兒園 [904]東寧路155號,120.4936169,22.7338619,90
屏東縣私立九如幼兒園,私立,屏東縣,九如鄉,屏東縣私立九如幼兒園 [904]維新街52巷1之1號,120.487558,22.733756,63
屏東縣私立九如林肯幼兒園,私立,屏東縣,九如鄉,屏東縣私立九如林肯幼兒園 [904]維新街138號,120.4849577,22.7330751,90
屏東縣私立育英幼兒園,私立,屏東縣,九如鄉,屏東縣私立育英幼兒園 [904]仁愛街91巷1、5號,120.486836,22.730245,110
屏東縣私立耆老幼兒園,私立,屏東縣,九如鄉,屏東縣私立耆老幼兒園 [904]中興街57號,120.4971035,22.7577304,30
屏東縣里港鄉土庫國民小學附設幼兒園,公立,屏東縣,里港鄉,屏東縣里港鄉土庫國民小學附設幼兒園 [905]中和路33號,120.492097,22.807714,30
屏東縣里港鄉里港國民小學附設幼兒園,公立,屏東縣,里港鄉,屏東縣里港鄉里港國民小學附設幼兒園 [905]過江路41號,120.4942833,22.7807151,75
屏東縣里港鄉立幼兒園,公立,屏東縣,里港鄉,屏東縣里港鄉立幼兒園 [905]仁愛路52巷18號,120.493112,22.780345,120
屏東縣私立向日葵幼兒園,私立,屏東縣,里港鄉,屏東縣私立向日葵幼兒園 [905]三部村三和路71之12、13、14號,120.504644,22.8094154,90
里港基督長老教會附設屏東縣私立聖愛幼兒園,私立,屏東縣,里港鄉,里港基督長老教會附設屏東縣私立聖愛幼兒園 [905]中山路1號,120.4941809,22.7750068,90
屏東縣高樹鄉舊寮國民小學附設幼兒園,公立,屏東縣,高樹鄉,屏東縣高樹鄉舊寮國民小學附設幼兒園 [906]長美路42號,120.6098805,22.8485893,15
屏東縣高樹鄉泰山國民小學附設幼兒園,公立,屏東縣,高樹鄉,屏東縣高樹鄉泰山國民小學附設幼兒園 [906]產業路84號,120.614027,22.787965,15
屏東縣高樹鄉高樹國民小學附設幼兒園,公立,屏東縣,高樹鄉,屏東縣高樹鄉高樹國民小學附設幼兒園 [906]華光路32號,120.5990941,22.8261684,30
屏東縣高樹鄉田子國民小學附設幼兒園,公立,屏東縣,高樹鄉,屏東縣高樹鄉田子國民小學附設幼兒園 [906]公平路19號,120.5773749,22.8039718,30
屏東縣高樹鄉立幼兒園,公立,屏東縣,高樹鄉,屏東縣高樹鄉立幼兒園 [906]蕉場路45號,120.5752655,22.8009983,180
屏東縣私立鳳成幼兒園,私立,屏東縣,高樹鄉,屏東縣私立鳳成幼兒園 [906]共榮巷2號,120.588879,22.825336,50
屏東縣私立小太陽幼兒園,私立,屏東縣,高樹鄉,屏東縣私立小太陽幼兒園 [906]華光路83號,120.598354,22.825729,100
屏東縣鹽埔鄉振興國民小學附設幼兒園,公立,屏東縣,鹽埔鄉,屏東縣鹽埔鄉振興國民小學附設幼兒園 [907]光明路36號,120.6099887,22.7256497,15
屏東縣鹽埔鄉彭厝國民小學附設幼兒園,公立,屏東縣,鹽埔鄉,屏東縣鹽埔鄉彭厝國民小學附設幼兒園 [907]七份路21號,120.5317694,22.7395833,30
屏東縣鹽埔鄉新圍國民小學附設幼兒園,公立,屏東縣,鹽埔鄉,屏東縣鹽埔鄉新圍國民小學附設幼兒園 [907]維新路67號,120.553884,22.73827,30
屏東縣鹽埔鄉立幼兒園,公立,屏東縣,鹽埔鄉,屏東縣鹽埔鄉立幼兒園 [907]勝利路189號,120.5779935,22.7599013,135
屏東縣私立芊昱幼兒園,私立,屏東縣,鹽埔鄉,屏東縣私立芊昱幼兒園 [907]維新路99-15號,120.554325,22.741228,95
屏東縣私立乙幼幼兒園,私立,屏東縣,鹽埔鄉,屏東縣私立乙幼幼兒園 [907]福樹巷6之10號,120.5800986,22.7583685,82
屏東縣私立仁美幼兒園,私立,屏東縣,鹽埔鄉,屏東縣私立仁美幼兒園 [907]鹽北路11號,120.578779,22.757575,60
屏東縣私立信華幼兒園,私立,屏東縣,鹽埔鄉,屏東縣私立信華幼兒園 [907]民生路2號,120.5837485,22.7401826,75
屏東縣私立狄仕耐幼兒園,私立,屏東縣,鹽埔鄉,屏東縣私立狄仕耐幼兒園 [907]新高路18之1號,120.5578031,22.7414791,72
